symbol,close,tier,w_score,m_score,resonance,red_ratio,red_streak,sweet_spot,banker_flag,vwap_score,base_trend,dv_daily%,dv_weekly%,dv_monthly%,ad_w_up,ad_m_up,vol_ratio,rel_20d%,turnover_20d,risks,scan_time
5235SS.KL,8.84,Tier 2,85.0,100.0,60.0,1.0,18,False,混合不一致,-1.0,0.0,-0.17,-1.11,-1.37,0,0,1.64,-3.57,5534971.0,弱于板块,2026-07-29 20:27:36
5227.KL,2.77,Tier 2,85.0,100.0,60.0,1.0,18,False,混合不一致,3.44,2.44,1.53,0.93,-0.23,0,1,1.52,-0.87,3302902.0,,2026-07-29 20:27:36
5176.KL,2.25,Tier 3,85.0,85.0,60.0,0.8333333333333334,0,True,混合不一致,1.88,1.88,0.51,0.51,-4.02,1,0,1.91,0.87,10470243.0,放量滞涨,2026-07-29 20:27:36
5212.KL,1.83,Tier 3,85.0,85.0,85.0,0.3888888888888889,0,False,混合不一致,9.18,7.18,4.16,5.07,2.95,1,1,0.45,4.68,4746543.0,,2026-07-29 20:27:36
5106.KL,1.92,Tier 3,60.0,85.0,60.0,0.16666666666666666,0,False,混合不一致,-1.0,0.0,-1.13,-1.98,-2.37,0,0,0.68,-3.88,2192151.0,弱于板块,2026-07-29 20:27:36
5180.KL,0.61,Tier 3,60.0,85.0,60.0,0.0,0,False,混合不一致,-1.0,0.0,-0.15,-0.39,-2.18,0,0,0.98,-3.15,828327.0,弱于板块,2026-07-29 20:27:36
5109.KL,1.07,Tier 3,85.0,85.0,85.0,0.0,0,False,纯游资(无真庄家),5.73,5.73,2.02,3.78,2.4,1,1,0.61,-1.4,426216.0,,2026-07-29 20:27:36
5123.KL,0.73,Tier 3,60.0,85.0,60.0,0.0,0,False,混合不一致,5.7,4.7,1.99,2.58,-0.17,1,1,1.4,1.21,231207.0,,2026-07-29 20:27:36
5280.KL,0.87,Tier 2,85.0,100.0,85.0,1.0,18,False,混合不一致,6.34,5.34,2.51,2.66,1.63,1,1,0.38,1.23,1176129.0,,2026-07-29 20:27:36
5110.KL,0.85,Tier 3,85.0,60.0,60.0,0.0,0,False,混合不一致,6.59,5.59,1.8,3.49,2.61,1,1,0.57,1.95,311184.0,,2026-07-29 20:27:36
